Gait cycle [%],Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt
54,-6.24001,3.10954,9.69164,-6.56225,2.49486,8.67657,-6.39299,1.75554,10.09424,-6.79819,0.70036,8.37567,-6.38776,-0.05541,9.45021,-6.04518,0.40215,9.03788,-6.31828,1.90184,7.90627,-6.68396,-0.08755,8.31298,-7.19506,-0.81751,9.29397,-6.39038,1.50991,8.71566,-6.32517,5.02631,9.23687,-5.447,5.46108,6.57457,-6.27187,0.21577,9.25276,-6.08392,2.63631,8.87435,-7.63795,4.00742,9.62983,-6.18815,6.14133,9.60118,-6.08675,1.84481,9.5008,-6.03875,1.18638,9.36639,-6.52257,2.0225,8.60932,-6.69174,2.37433,9.39407,-6.62556,2.84537,8.27881,-6.59303,2.51588,7.97904,-6.04766,3.36252,9.05042,-5.6815,4.87882,8.54845,-5.70329,2.95798,9.08216,-5.62002,5.95791,8.15449,-5.80761,4.54818,8.46068,-6.79211,0.70466,7.80538,-6.39084,2.25531,10.18245,-5.65043,5.37312,9.64247,-5.48333,0.53155,9.44656,-5.72786,3.43516,10.40181,-6.17063,2.68223,10.00291,-5.27897,3.42085,9.00548,-5.70574,3.17096,9.73589,-5.53759,4.43992,10.05608
55,-6.47404,2.95764,9.55029,-6.86038,2.36793,8.57254,-6.66326,1.60906,9.92114,-6.94872,0.57096,8.22245,-6.55877,-0.27759,9.26844,-6.23647,0.23308,8.82231,-6.55958,1.7109,7.64844,-6.89431,-0.21861,8.13743,-7.4386,-0.95983,9.13852,-6.61571,1.2883,8.54994,-6.49057,4.8928,9.05293,-5.66827,5.32941,6.40665,-6.44001,-0.12534,9.08649,-6.3655,2.36621,8.76806,-7.91854,3.84029,9.44608,-6.48419,5.96291,9.43311,-6.30711,1.64587,9.38362,-6.28473,0.93387,9.2164,-6.79907,1.75232,8.48962,-6.93983,2.24956,9.17031,-6.85319,2.59545,8.13195,-6.8695,2.32582,7.74805,-6.30822,3.12919,8.91336,-5.92661,4.6509,8.43887,-5.98465,2.80587,8.89429,-5.85583,5.78921,7.96462,-6.04566,4.30351,8.33985,-7.01408,0.39631,7.6372,-6.65837,2.0078,10.03892,-5.96166,5.19886,9.52607,-5.72598,0.26588,9.24213,-5.97816,3.16194,10.31887,-6.43033,2.41993,9.85094,-5.47976,3.06514,8.94735,-5.91779,2.8361,9.653,-5.74821,4.07951,9.95689
56,-6.6644,2.80476,9.38396,-7.14633,2.26478,8.45196,-6.92659,1.48505,9.72909,-7.06603,0.45649,8.06267,-6.71956,-0.44709,9.07499,-6.4042,0.08562,8.59021,-6.7625,1.52141,7.36066,-7.09809,-0.31995,7.94303,-7.65656,-1.08067,8.9586,-6.83532,1.0915,8.34661,-6.65158,4.78741,8.84671,-5.87088,5.21396,6.22308,-6.61067,-0.41172,8.88588,-6.63954,2.11877,8.63044,-8.1726,3.67053,9.22758,-6.7758,5.80335,9.24711,-6.5143,1.45925,9.22506,-6.51809,0.70441,9.02749,-7.04684,1.50022,8.33651,-7.17868,2.1496,8.91697,-7.07912,2.36405,7.96545,-7.14002,2.16668,7.49263,-6.57835,2.9333,8.75448,-6.15721,4.44057,8.30478,-6.24407,2.64317,8.6757,-6.0729,5.62799,7.74749,-6.25766,4.08034,8.17955,-7.23352,0.13261,7.44826,-6.93264,1.79292,9.8612,-6.26887,5.02909,9.37939,-5.9729,0.04291,8.99859,-6.23843,2.90591,10.20024,-6.6947,2.17472,9.66366,-5.70715,2.7565,8.87245,-6.13793,2.52485,9.54302,-5.98648,3.74231,9.84774
57,-6.80215,2.65065,9.2039,-7.40328,2.17907,8.31677,-7.17113,1.38546,9.5239,-7.14463,0.35523,7.90402,-6.86575,-0.56455,8.87368,-6.54006,-0.04039,8.34976,-6.92275,1.32728,7.05669,-7.28535,-0.39705,7.7375,-7.83923,-1.18378,8.75721,-7.03989,0.9179,8.10962,-6.80051,4.70887,8.62427,-6.04524,5.11131,6.03053,-6.77679,-0.63622,8.65018,-6.89149,1.89374,8.45901,-8.39252,3.49821,8.97888,-7.04747,5.66123,9.04433,-6.69839,1.28428,9.02385,-6.72969,0.49978,8.80022,-7.25152,1.26559,8.15113,-7.39592,2.06816,8.64161,-7.29181,2.15142,7.78361,-7.39113,2.02952,7.22092,-6.84328,2.77027,8.57432,-6.36371,4.24508,8.14314,-6.4695,2.46454,8.43216,-6.26276,5.47048,7.50694,-6.43636,3.87384,7.98718,-7.43808,-0.08851,7.24151,-7.20226,1.60934,9.64859,-6.5593,4.85901,9.20076,-6.20884,-0.1434,8.71623,-6.49412,2.66999,10.04572,-6.95312,1.94524,9.44164,-5.9513,2.50321,8.77813,-6.35671,2.24448,9.40312,-6.24374,3.44086,9.72131
58,-6.88366,2.49999,9.02499,-7.61636,2.10551,8.17116,-7.38665,1.31157,9.3135,-7.18109,0.2663,7.75515,-6.99307,-0.63337,8.66867,-6.63753,-0.14464,8.11136,-7.03973,1.12593,6.7561,-7.44632,-0.45508,7.53121,-7.97937,-1.27107,8.54174,-7.22061,0.76466,7.84845,-6.92886,4.65356,8.39381,-6.18307,5.01881,5.83787,-6.93118,-0.80079,8.38218,-7.10965,1.68824,8.25639,-8.57319,3.32591,8.70964,-7.28561,5.53258,8.82773,-6.85266,1.11912,8.78561,-6.91323,0.31944,8.54138,-7.40316,1.04825,7.94125,-7.57966,2.00099,8.35627,-7.47905,1.95635,7.59227,-7.61085,1.9048,6.94372,-7.0879,2.6318,8.37667,-6.53967,4.06071,7.95531,-6.6534,2.27244,8.17615,-6.41925,5.31312,7.25099,-6.57761,3.68027,7.77706,-7.61541,-0.27264,7.02224,-7.45596,1.45204,9.40383,-6.82277,4.68302,8.99214,-6.4186,-0.30319,8.40281,-6.73048,2.45422,9.85826,-7.19614,1.72855,9.19012,-6.19864,2.30446,8.66269,-6.56542,1.99676,9.23319,-6.50962,3.17916,9.57042
59,-6.91004,2.36135,8.86392,-7.77383,2.04216,8.02253,-7.56519,1.26423,9.10729,-7.17395,0.19007,7.62449,-7.09773,-0.65863,8.46493,-6.69213,-0.22602,7.88639,-7.11471,0.91919,6.48138,-7.57205,-0.49684,7.337,-8.07164,-1.34106,8.32406,-7.36966,0.62962,7.57815,-7.02822,4.61695,8.16502,-6.27778,4.93509,5.65512,-7.06698,-0.91411,8.08941,-7.28595,1.49896,8.03085,-8.71098,3.15978,8.43381,-7.47996,5.41336,8.60289,-6.97351,0.96283,8.52318,-7.06467,0.16345,8.26453,-7.49653,0.85096,7.7216,-7.71889,1.94721,8.07612,-7.62859,1.77865,7.39943,-7.78931,1.7854,6.67373,-7.29766,2.50982,8.16927,-6.68158,3.88474,7.74771,-6.79159,2.07645,7.9253,-6.53802,5.15413,6.99186,-6.67943,3.49877,7.56838,-7.75441,-0.42598,6.7986,-7.68375,1.31573,9.13455,-7.05168,4.4974,8.76031,-6.5882,-0.44621,8.074,-6.93429,2.25814,9.64466,-7.41547,1.52287,8.91943,-6.43329,2.15142,8.52638,-6.75683,1.77937,9.03684,-6.77313,2.95316,9.38996
60,-6.88596,2.24501,8.7366,-7.86756,1.99148,7.88134,-7.70096,1.24404,8.91518,-7.12366,0.12838,7.51918,-7.17655,-0.64604,8.2683,-6.7017,-0.28265,7.68587,-7.14889,0.7129,6.25417,-7.65468,-0.52127,7.16903,-8.11203,-1.38897,8.1194,-7.48028,0.51284,7.31809,-7.09078,4.59477,7.94837,-6.32469,4.86043,5.49223,-7.17824,-0.98791,7.78445,-7.4153,1.32406,7.79618,-8.80238,3.00951,8.16817,-7.62396,5.302,8.37846,-7.05963,0.81708,8.25542,-7.18125,0.03415,7.98895,-7.53061,0.67974,7.51224,-7.80373,1.90905,7.81698,-7.72907,1.62089,7.2156,-7.91887,1.66874,6.42468,-7.45962,2.39972,7.96353,-6.78787,3.71641,7.53114,-6.88136,1.89117,7.69956,-6.61594,4.99523,6.74499,-6.74069,3.332,7.38202,-7.84591,-0.55203,6.58144,-7.87744,1.19796,8.8542,-7.2406,4.30214,8.51731,-6.70571,-0.57823,7.75181,-7.09488,2.08301,9.41583,-7.60325,1.32992,8.64447,-6.63903,2.0306,8.37253,-6.92512,1.58802,8.82182,-7.02305,2.75347,9.17875
61,-6.81847,2.16024,8.65525,-7.89305,1.95971,7.76041,-7.79047,1.25147,8.74654,-7.03234,0.08437,7.4439,-7.22708,-0.60088,8.0852,-6.66644,-0.31212,7.51888,-7.14282,0.51578,6.09123,-7.68803,-0.5245,7.0409,-8.09768,-1.4078,7.94409,-7.54686,0.41719,7.0897,-7.1102,4.58416,7.75368,-6.32141,4.79668,5.35773,-7.25959,-1.03327,7.48451,-7.49483,1.16425,7.56982,-8.84382,2.88666,7.92963,-7.71379,5.20057,8.1654,-7.11049,0.68644,8.00442,-7.25994,-0.06283,7.73707,-7.50768,0.54305,7.3352,-7.82639,1.89098,7.59279,-7.7709,1.4886,7.05327,-7.99397,1.55719,6.20953,-7.56306,2.30202,7.77308,-6.85767,3.55718,7.31911,-6.92042,1.73207,7.51707,-6.65055,4.84147,6.52691,-6.76047,3.18546,7.23613,-7.88296,-0.65017,6.38358,-8.03031,1.10043,8.58115,-7.38518,4.10187,8.2794,-6.76157,-0.69935,7.46116,-7.20428,1.93286,9.18606,-7.75134,1.15533,8.38302,-6.80122,1.92838,8.20838,-7.0658,1.41863,8.59973,-7.24822,2.56977,8.94123
62,-6.71597,2.11292,8.62638,-7.84898,1.95533,7.67233,-7.83232,1.28636,8.60897,-6.90356,0.06201,7.40045,-7.24772,-0.52765,7.92211,-6.58882,-0.31245,7.39106,-7.09675,0.33755,6.00137,-7.66755,-0.50088,6.96325,-8.02718,-1.39025,7.81239,-7.56483,0.34791,6.91289,-7.08238,4.58379,7.58893,-6.26803,4.74652,5.25736,-7.30609,-1.05806,7.20951,-7.52267,1.02274,7.37045,-8.83178,2.80264,7.73235,-7.74693,5.11513,7.97556,-7.12506,0.57807,7.79179,-7.2966,-0.11977,7.53079,-7.43212,0.44977,7.21006,-7.78192,1.89815,7.41325,-7.74712,1.38947,6.92535,-8.01117,1.45749,6.0386,-7.60004,2.22194,7.61128,-6.88979,3.40996,7.12528,-6.9067,1.61225,7.39044,-6.6394,4.70096,6.35254,-6.738,3.06592,7.14258,-7.86122,-0.71602,6.21809,-8.13626,1.029,8.33655,-7.48156,3.90531,8.06473,-6.74915,-0.80444,7.22499,-7.25718,1.81416,8.97156,-7.85129,1.00766,8.15287,-6.90861,1.83435,8.04516,-7.17484,1.26872,8.3848,-7.43702,2.39437,8.68812
63,-6.58732,2.10432,8.64931,-7.73737,1.98643,7.627,-7.82715,1.34779,8.50734,-6.74211,0.0654,7.38733,-7.23779,-0.42968,7.78442,-6.47351,-0.28267,7.30382,-7.01208,0.1871,5.98358,-7.59115,-0.44491,6.94129,-7.90139,-1.33079,7.73356,-7.53116,0.31136,6.80254,-7.00577,4.59385,7.45876,-6.16734,4.71295,5.19326,-7.31276,-1.06585,6.97908,-7.4976,0.90435,7.21459,-8.76387,2.76638,7.58508,-7.72135,5.0543,7.81934,-7.10143,0.49999,7.63493,-7.2863,-0.1287,7.38713,-7.30974,0.40676,7.14976,-7.66977,1.93489,7.28226,-7.65458,1.33131,6.84266,-7.96936,1.37886,5.91743,-7.5662,2.16743,7.48839,-6.88268,3.27797,6.96082,-6.83938,1.53922,7.32406,-6.58047,4.5826,6.23217,-6.67327,2.97955,7.10476,-7.77917,-0.74318,6.09554,-8.1894,0.99169,8.14042,-7.52613,3.72365,7.8903,-6.6653,-0.88536,7.05939,-7.25046,1.73441,8.78783,-7.8951,0.89636,7.96862,-6.95435,1.74418,7.89714,-7.24813,1.13801,8.19211,-7.57757,2.22482,8.43577
64,-6.44111,2.13086,8.71621,-7.56353,2.05867,7.62891,-7.7775,1.43355,8.44309,-6.55351,0.09808,7.40018,-7.19727,-0.30939,7.67547,-6.32692,-0.22341,7.25401,-6.89247,0.0713,6.02721,-7.45997,-0.35299,6.97311,-7.72412,-1.22727,7.70949,-7.44496,0.31372,6.76513,-6.88192,4.61532,7.36353,-6.02493,4.69819,5.1637,-7.27469,-1.05633,6.8089,-7.41939,0.81392,7.1136,-8.63996,2.78281,7.48945,-7.63593,5.02684,7.70296,-7.03714,0.45951,7.54362,-7.22463,-0.08403,7.31494,-7.14704,0.41721,7.1577,-7.4947,2.00369,7.1974,-7.49476,1.31991,6.81111,-7.87057,1.33088,5.84508,-7.46168,2.14633,7.40945,-6.83492,3.16379,6.83276,-6.72024,1.5144,7.31314,-6.47276,4.49472,6.1692,-6.56831,2.93015,7.11679,-7.63824,-0.72538,6.02133,-8.18426,0.99627,8.00766,-7.51667,3.56808,7.76847,-6.51145,-0.93364,6.97002,-7.18354,1.6998,8.64705,-7.8769,0.82949,7.83892,-6.93661,1.65955,7.77914,-7.2815,1.02788,8.03508,-7.65802,2.06412,8.20354
65,-6.28469,2.18507,8.81364,-7.33642,2.17363,7.67563,-7.68742,1.54005,8.41387,-6.34368,0.16226,7.43251,-7.12689,-0.16865,7.59566,-6.15661,-0.13742,7.23456,-6.74479,-0.00611,6.11387,-7.27938,-0.22454,7.04924,-7.50271,-1.08168,7.73403,-7.30867,0.35895,6.79688,-6.71502,4.64923,7.29938,-5.84879,4.70335,5.16327,-7.18797,-1.02648,6.70721,-7.28992,0.75527,7.0715,-8.46285,2.85224,7.43968,-7.49158,5.03944,7.6268,-6.93058,0.46124,7.51839,-7.10974,0.01569,7.31256,-6.95138,0.47941,7.2267,-7.26713,2.10453,7.15068,-7.2745,1.3575,6.82981,-7.7205,1.32144,5.81399,-7.29178,2.16387,7.37301,-6.74673,3.06845,6.74308,-6.55495,1.53301,7.34509,-6.31776,4.44321,6.15908,-6.42771,2.91801,7.165,-7.4433,-0.6586,5.99399,-8.11723,1.04779,7.94446,-7.45324,3.44799,7.7045,-6.29459,-0.94296,6.95092,-7.05858,1.71352,8.55548,-7.79516,0.81193,7.76471,-6.85841,1.58717,7.70345,-7.27121,0.94076,7.92334,-7.66824,1.91965,8.01057
66,-6.12352,2.25695,8.92492,-7.06838,2.32782,7.75775,-7.56237,1.66222,8.41407,-6.11864,0.2584,7.47662,-7.02793,-0.00896,7.54226,-5.97049,-0.0293,7.2358,-6.57846,-0.04464,6.2208,-7.05915,-0.06271,7.15351,-7.2478,-0.90025,7.79387,-7.12855,0.44805,6.88381,-6.51175,4.69593,7.2585,-5.64864,4.72794,5.18386,-7.05077,-0.97236,6.67247,-7.1144,0.72982,7.08379,-8.23856,2.97032,7.42372,-7.29282,5.09496,7.58508,-6.78231,0.50639,7.55008,-6.94381,0.16705,7.36794,-6.73087,0.58723,7.34027,-7.00205,2.23475,7.1301,-7.00563,1.44183,6.89068,-7.52854,1.35517,5.81091,-7.06719,2.22123,7.37126,-6.62126,2.99113,6.68875,-6.35291,1.5861,7.40203,-6.12032,4.43037,6.18984,-6.25878,2.93965,7.23048,-7.20265,-0.5427,6.00469,-7.98815,1.14694,7.94677,-7.33991,3.36958,7.6952,-6.0275,-0.91075,6.9861,-6.88136,1.77466,8.51224,-7.65399,0.84455,7.73896,-6.72727,1.53607,7.67648,-7.21491,0.87909,7.8608,-7.60191,1.80088,7.87167
67,-5.96048,2.3358,9.03337,-6.77405,2.51316,7.86037,-7.40846,1.79392,8.43519,-5.88398,0.38484,7.52466,-6.90205,0.168,7.50961,-5.77593,0.0947,7.24698,-6.40355,-0.04691,6.32497,-6.81231,0.12593,7.26599,-6.9722,-0.69245,7.87106,-6.91434,0.57832,7.00411,-6.28033,4.7546,7.2307,-5.43508,4.76976,5.21584,-6.86497,-0.89054,6.69341,-6.90194,0.73654,7.13792,-7.97565,3.12902,7.4257,-7.04835,5.19197,7.56702,-6.59638,0.59223,7.62171,-6.73344,0.36221,7.46071,-6.49447,0.73053,7.47563,-6.71699,2.38947,7.12203,-6.70335,1.56657,6.97967,-7.30671,1.43264,5.81948,-6.80324,2.31485,7.39154,-6.46525,2.92943,6.66262,-6.12606,1.66211,7.46447,-5.88925,4.45447,6.2444,-6.07029,2.98839,7.29306,-6.92766,-0.38216,6.03903,-7.80188,1.28946,8.00071,-7.18501,3.33522,7.72959,-5.72767,-0.83883,7.05325,-6.66138,1.87794,8.5089,-7.46323,0.92432,7.74785,-6.55429,1.51521,7.69696,-7.11283,0.8447,7.84489,-7.45927,1.71655,7.79407
68,-5.79545,2.41181,9.12487,-6.46857,2.71773,7.96608,-7.2321,1.92821,8.46714,-5.64487,0.53783,7.56956,-6.75134,0.36013,7.48995,-5.57885,0.22733,7.25812,-6.2284,-0.01786,6.40691,-6.55269,0.3321,7.36666,-6.68918,-0.46976,7.94648,-6.67814,0.74364,7.13197,-6.02964,4.82324,7.205,-5.21823,4.82534,5.24965,-6.63713,-0.77935,6.75085,-6.66464,0.77179,7.21545,-7.68407,3.31752,7.42892,-6.77054,5.32476,7.55946,-6.38026,0.71271,7.71152,-6.48915,0.5902,7.5663,-6.25103,0.89707,7.60799,-6.42926,2.56205,7.11364,-6.38403,1.72205,7.0796,-7.06777,1.55021,5.82355,-6.51746,2.43742,7.41904,-6.28856,2.87983,6.65483,-5.88632,1.74916,7.51486,-5.63631,4.51003,6.30361,-5.87035,3.05544,7.33511,-6.63171,-0.18623,6.07992,-7.56847,1.46666,8.08537,-7.00052,3.34364,7.79115,-5.41458,-0.73321,7.12859,-6.41109,2.01433,8.53127,-7.23656,1.04502,7.77383,-6.35323,1.53085,7.75547,-6.96834,0.83829,7.86669,-7.24868,1.6726,7.77566
69,-5.62561,2.47751,9.18973,-6.16503,2.9279,8.05843,-7.03923,2.058,8.49962,-5.4056,0.71187,7.60578,-6.57818,0.56468,7.47468,-5.38329,0.36117,7.26121,-6.05723,0.03609,6.45364,-6.29216,0.54533,7.43933,-6.41016,-0.24412,8.00318,-6.43225,0.93496,7.24267,-5.768,4.89885,7.17152,-5.00687,4.89019,5.27704,-6.3784,-0.63944,6.82175,-6.41584,0.82968,7.29535,-7.37371,3.52351,7.41873,-6.47368,5.48404,7.54968,-6.1441,0.85934,7.79712,-6.22349,0.83833,7.66057,-6.00802,1.07365,7.71538,-6.15332,2.7449,7.0948,-6.06243,1.89647,7.17341,-6.82322,1.70057,5.81029,-6.22645,2.57931,7.43971,-6.10241,2.83868,6.65466,-5.64322,1.83652,7.54039,-5.3745,4.58848,6.35017,-5.6644,3.1315,7.34481,-6.3284,0.03162,6.11143,-7.30179,1.66661,8.17688,-6.8,3.39048,7.86111,-5.10618,-0.60293,7.19145,-6.14429,2.17205,8.56183,-6.98842,1.19852,7.79908,-6.13874,1.58542,7.83635,-6.78799,0.85951,7.91228,-6.98675,1.67051,7.80543
70,-5.44625,2.52861,9.22323,-5.87237,3.13039,8.12528,-6.83485,2.17669,8.52301,-5.16971,0.90018,7.62969,-6.38519,0.77846,7.45567,-5.1911,0.48928,7.25119,-5.88921,0.10818,6.45989,-6.03812,0.7554,7.47418,-6.14313,-0.02637,8.02913,-6.18703,1.14152,7.31694,-5.50253,4.97808,7.12296,-4.80736,4.95944,5.29207,-6.10301,-0.47377,6.88384,-6.1673,0.90302,7.35831,-7.05322,3.73438,7.3847,-6.17159,5.65829,7.52787,-5.89874,1.0225,7.85935,-5.94902,1.0937,7.72402,-5.76979,1.24785,7.78234,-5.8989,2.93021,7.05927,-5.74962,2.07742,7.24697,-6.58153,1.87348,5.77256,-5.94287,2.73011,7.44285,-5.91704,2.80308,6.65222,-5.40229,1.91615,7.53449,-5.11569,4.6798,6.37131,-5.45394,3.20804,7.31757,-6.02957,0.25532,6.12178,-7.01692,1.87589,8.25281,-6.59582,3.46886,7.92215,-4.8154,-0.45873,7.22749,-5.87379,2.33796,8.58359,-6.73067,1.37587,7.80913,-5.92463,1.67685,7.92124,-6.58074,0.9067,7.96512,-6.69571,1.70726,7.86631
71,-5.25242,2.56413,9.22538,-5.59475,3.31425,8.16034,-6.62272,2.27869,8.52983,-4.94011,1.09521,7.63963,-6.17525,0.99771,7.4264,-5.00221,0.60605,7.22608,-5.71906,0.19219,6.42762,-5.7927,0.95401,7.46906,-5.89159,0.17476,8.01819,-5.94949,1.35192,7.34414,-5.23845,5.05794,7.05547,-4.62355,5.028,5.29167,-5.82582,-0.2874,6.9198,-5.9273,0.98345,7.39026,-6.72932,3.93857,7.32159,-5.8753,5.8352,7.48849,-5.65348,1.19267,7.88532,-5.67597,1.34449,7.74477,-5.53663,1.4097,7.802,-5.67022,3.11068,7.00504,-5.45188,2.25319,7.29121,-6.34762,2.05664,5.70931,-5.67373,2.87998,7.42261,-5.73937,2.77176,6.63988,-5.16499,1.98317,7.49668,-4.86881,4.77418,6.36099,-5.23711,3.27837,7.25578,-5.74352,0.46875,6.10501,-6.72691,2.08138,8.29549,-6.39671,3.56991,7.96121,-4.54839,-0.3111,7.22991,-5.6091,2.49935,8.58316,-6.47035,1.56832,7.79503,-5.72174,1.79879,7.99312,-6.35663,0.97711,8.00894,-6.3995,1.77585,7.93928
72,-5.04089,2.58568,9.19969,-5.33207,3.47252,8.16345,-6.40524,2.35986,8.51517,-4.71903,1.28957,7.63581,-5.95141,1.21844,7.38276,-4.81529,0.70779,7.18699,-5.53943,0.28298,6.3644,-5.55369,1.13545,7.42848,-5.65503,0.35342,7.9702,-5.72279,1.55529,7.32315,-4.97902,5.13633,6.96885,-4.45666,5.0914,5.27576,-5.5593,-0.08638,6.92008,-5.6998,1.06292,7.3845,-6.40696,4.12646,7.22939,-5.59177,6.00318,7.43044,-5.41437,1.36163,7.86981,-5.41121,1.58112,7.71943,-5.30496,1.55204,7.77577,-5.46629,3.28025,6.93355,-5.1706,2.41416,7.30253,-6.12305,2.23718,5.62492,-5.42006,3.02081,7.37778,-5.57183,2.74524,6.61326,-4.93038,2.03586,7.43161,-4.63883,4.86324,6.3197,-5.01049,3.33805,7.16696,-5.4742,0.658,6.06109,-6.44037,2.27182,8.29425,-6.20619,3.68374,7.9708,-4.30462,-0.16863,7.19902,-5.35502,2.64518,8.55312,-6.20972,1.76782,7.75394,-5.53619,1.94186,8.03972,-6.12507,1.06667,8.031,-6.11896,1.86634,8.00762
73,-4.81191,2.59672,9.15219,-5.08196,3.60278,8.13922,-6.18379,2.41792,8.47707,-4.50845,1.47637,7.62017,-5.71693,1.43679,7.32342,-4.62848,0.79287,7.13722,-5.34388,0.37653,6.28087,-5.31653,1.2973,7.36188,-5.43011,0.50693,7.88974,-5.50642,1.74272,7.26124,-4.72595,5.2125,6.86603,-4.30585,5.14574,5.24676,-5.31124,0.1233,6.8834,-5.48473,1.13439,7.3418,-6.08983,4.29144,7.11205,-5.32362,6.15302,7.35628,-5.18351,1.52329,7.81492,-5.15747,1.79719,7.65226,-5.06856,1.67182,7.71174,-5.28236,3.4346,6.84887,-4.9038,2.55372,7.28225,-5.90696,2.40323,5.52701,-5.17828,3.14722,7.3109,-5.41291,2.72572,6.57113,-4.69727,2.07503,7.34712,-4.42717,4.94129,6.25349,-4.77188,3.38512,7.06142,-5.22146,0.81382,5.99442,-6.16065,2.43948,8.24584,-6.0226,3.8001,7.9491,-4.07863,-0.03648,7.14077,-5.11179,2.7678,8.49234,-5.94769,1.96744,7.68814,-5.36858,2.09498,8.055,-5.89369,1.17019,8.02419,-5.86802,1.9674,8.05982
74,-4.57014,2.60148,9.09014,-4.84174,3.70734,8.09521,-5.9592,2.45236,8.4166,-4.31028,1.64973,7.59572,-5.47529,1.64927,7.24984,-4.44045,0.86189,7.08175,-5.12948,0.46986,6.18831,-5.07699,1.44003,7.28097,-5.21252,0.63584,7.78479,-5.29759,1.90818,7.17126,-4.48003,5.28711,6.75245,-4.16903,5.18813,5.20911,-5.08366,0.33711,6.81539,-5.27884,1.19302,7.26867,-5.78123,4.43007,6.97626,-5.0701,6.27922,7.27103,-4.95953,1.67388,7.72862,-4.91437,1.98986,7.55311,-4.82119,1.76934,7.62201,-5.11168,3.57155,6.75646,-4.64799,2.66867,7.23534,-5.69739,2.54581,5.42424,-4.94284,3.25733,7.22676,-5.25863,2.71651,6.51522,-4.46634,2.10276,7.2526,-4.23297,5.00535,6.17174,-4.52259,3.41946,6.94981,-4.98268,0.93214,5.91209,-5.88675,2.58073,8.15378,-5.84062,3.90958,7.89871,-3.86306,0.08423,7.06453,-4.87642,2.8632,8.40524,-5.68275,2.1611,7.60291,-5.21434,2.2471,8.03894,-5.66766,1.28153,7.98776,-5.65177,2.06771,8.09032
75,-4.32421,2.60443,9.02154,-4.61003,3.79238,8.04035,-5.7325,2.46441,8.33737,-4.12656,1.80524,7.56621,-5.23038,1.85281,7.16583,-4.25122,0.91716,7.02633,-4.89831,0.56044,6.09668,-4.833,1.56649,7.1973,-4.99871,0.74353,7.66544,-5.09242,2.04928,7.06818,-4.24195,5.36176,6.6347,-4.04346,5.21653,5.1684,-4.87358,0.55273,6.72642,-5.07747,1.23673,7.17517,-5.48477,4.54174,6.8301,-4.82886,6.38035,7.18093,-4.73931,1.81192,7.62227,-4.6799,2.15959,7.43486,-4.55938,1.8477,7.52047,-4.94739,3.69115,6.6623,-4.40026,2.75916,7.16905,-5.49276,2.6601,5.32444,-4.70845,3.35327,7.13141,-5.10486,2.72099,6.44947,-4.24086,2.12177,7.15766,-4.05453,5.0554,6.08515,-4.26877,3.44199,6.84144,-4.75464,1.0143,5.82232,-5.61596,2.69623,8.02715,-5.65382,4.00441,7.82534,-3.65149,0.19594,6.98122,-4.6453,2.93136,8.2999,-5.41535,2.34397,7.50464,-5.06551,2.38888,7.99612,-5.44982,1.39403,7.92644,-5.4668,2.15745,8.099
